Name                                    Stmts   Miss  Cover
-----------------------------------------------------------
encommon/__init__.py                        5      0   100%
encommon/colors/__init__.py                 2      0   100%
encommon/colors/color.py                  186      0   100%
encommon/colors/test/__init__.py            0      0   100%
encommon/colors/test/test_color.py         50      0   100%
encommon/config/__init__.py                14      0   100%
encommon/config/config.py                 111      0   100%
encommon/config/files.py                   37      0   100%
encommon/config/logger.py                 194      0   100%
encommon/config/params.py                  23      0   100%
encommon/config/paths.py                   39      0   100%
encommon/config/test/__init__.py            2      0   100%
encommon/config/test/test_config.py        47      0   100%
encommon/config/test/test_files.py         33      0   100%
encommon/config/test/test_logger.py        91      0   100%
encommon/config/test/test_paths.py         41      0   100%
encommon/config/test/test_utils.py         16      0   100%
encommon/config/utils.py                   25      0   100%
encommon/conftest.py                       21      0   100%
encommon/crypts/__init__.py                 4      0   100%
encommon/crypts/crypts.py                  55      0   100%
encommon/crypts/hashes.py                  39      0   100%
encommon/crypts/params.py                  14      0   100%
encommon/crypts/test/__init__.py            0      0   100%
encommon/crypts/test/test_crypts.py        64      0   100%
encommon/crypts/test/test_hashes.py        24      0   100%
encommon/parse/__init__.py                  5      0   100%
encommon/parse/jinja2.py                  103      0   100%
encommon/parse/network.py                 123      0   100%
encommon/parse/test/__init__.py             0      0   100%
encommon/parse/test/test_jinja2.py         42      0   100%
encommon/parse/test/test_network.py        84      0   100%
encommon/times/__init__.py                 17      0   100%
encommon/times/common.py                   18      0   100%
encommon/times/duration.py                109      0   100%
encommon/times/params.py                   59      0   100%
encommon/times/parse.py                    57      0   100%
encommon/times/test/__init__.py             0      0   100%
encommon/times/test/test_duration.py       62      0   100%
encommon/times/test/test_params.py         14      0   100%
encommon/times/test/test_parse.py          73      0   100%
encommon/times/test/test_time.py           51      0   100%
encommon/times/test/test_timer.py          34      0   100%
encommon/times/test/test_timers.py         76      0   100%
encommon/times/test/test_unitime.py         7      0   100%
encommon/times/test/test_utils.py          45      0   100%
encommon/times/test/test_window.py         80      0   100%
encommon/times/test/test_windows.py        75      0   100%
encommon/times/time.py                    110      0   100%
encommon/times/timer.py                    37      0   100%
encommon/times/timers.py                  142      0   100%
encommon/times/unitime.py                  19      0   100%
encommon/times/utils.py                    33      0   100%
encommon/times/window.py                  117      0   100%
encommon/times/windows.py                 164      0   100%
encommon/types/__init__.py                 25      0   100%
encommon/types/classes.py                  16      0   100%
encommon/types/dicts.py                    21      0   100%
encommon/types/empty.py                    24      0   100%
encommon/types/funcs.py                    15      0   100%
encommon/types/lists.py                    25      0   100%
encommon/types/notate.py                  141      0   100%
encommon/types/strings.py                  19      0   100%
encommon/types/test/__init__.py            11      0   100%
encommon/types/test/test_classes.py        15      0   100%
encommon/types/test/test_dicts.py          30      0   100%
encommon/types/test/test_empty.py          23      0   100%
encommon/types/test/test_funcs.py          11      0   100%
encommon/types/test/test_lists.py          21      0   100%
encommon/types/test/test_notate.py        166      0   100%
encommon/types/test/test_strings.py        24      0   100%
encommon/types/types.py                     5      0   100%
encommon/utils/__init__.py                 18      0   100%
encommon/utils/common.py                    5      0   100%
encommon/utils/files.py                    12      0   100%
encommon/utils/match.py                    36      0   100%
encommon/utils/paths.py                    44      0   100%
encommon/utils/sample.py                   61      0   100%
encommon/utils/stdout.py                  138      0   100%
encommon/utils/test/__init__.py             0      0   100%
encommon/utils/test/test_files.py          15      0   100%
encommon/utils/test/test_match.py          19      0   100%
encommon/utils/test/test_paths.py          21      0   100%
encommon/utils/test/test_sample.py         46      0   100%
encommon/utils/test/test_stdout.py         53      0   100%
encommon/webkit/__init__.py                 2      0   100%
encommon/webkit/content.py                 25      0   100%
encommon/webkit/test/__init__.py            6      0   100%
encommon/webkit/test/conftest.py           16      0   100%
encommon/webkit/test/test_color.py          7      0   100%
encommon/webkit/test/test_content.py       23      0   100%
encommon/webkit/test/test_datagrid.py       9      0   100%
encommon/webkit/test/test_datetime.py       7      0   100%
encommon/webkit/test/test_default.py       66      0   100%
encommon/webkit/test/test_duration.py       7      0   100%
encommon/webkit/test/test_helpers.py       78      0   100%
encommon/webkit/test/test_image.py          7      0   100%
encommon/webkit/test/test_message.py        7      0   100%
encommon/webkit/test/test_moderate.py       7      0   100%
encommon/webkit/test/test_numeric.py       22      0   100%
encommon/webkit/test/test_statate.py        7      0   100%
encommon/webkit/test/test_tagues.py         7      0   100%
-----------------------------------------------------------
TOTAL                                    4256      0   100%
